,Clean_Code,Clean_City,City_Count,Corrected_City,Score
3057,CL,MACULSANTIAGO,11,ACU,90
3058,CL,MEDELLIN,5,MEDELLIN,100
3059,CL,OSOMO,3,OSOMO,73
3060,CL,OSORNO,909,OSORNO,100
3061,CL,OSORNOS,1,OSORNO,92
3062,CL,PENALOLEN,129,PENALOLEN,72
3063,CL,PROVIDENCIA,1114,PROVIDENIYA,91
3064,CL,PROVIDENCIA SANT,282,SAN,90
3065,CL,PROVIDENCIAM,12,PROVIDENIYA,87
3066,CL,PUDAHELSANTIAGO,2,SANTIAGO,90
3067,CL,PUDAHUEL SANTIAGO,3,SANTIAGO,90
3068,CL,PUDAHUELSANTIAGO,2,SANTIAGO,90
3069,CL,PUENTE ALTO,73,PUENTE ALTO,80
3070,CL,PUENTE ALTO SANT,22,SAN,90
3071,CL,PUERTO MONTT,11,PUERTO MONTT,100
3072,CL,PUNTA ARENAS,82,PUNTA ARENAS,100
3073,CL,QUILICURA,2,QUILICURA,77
3074,CL,QUILICURASANTIAG,5,SAN,90
3075,CL,RANCAGUA,513,RANCAGUA,100
3076,CL,RANCAHUA,5,RANCAGUA,88
3077,CL,RENACA,58,RENACA,75
3078,CL,RNACAGUA,1,RANCAGUA,88
3079,CL,SAN BERNARDO,456,SAN BERNARDO,100
3080,CL,SAN BERNARDO SAN,34,SAN BERNARDO,95
3081,CL,SAN FELIPE,21,SAN FELIPE,100
3082,CL,SAN JOAQUIN,1,SAN,90
3083,CL,SAN MIGUEL,166,SAN MIGUEL,100
3084,CL,SAN MIGUEL SANTI,52,SAN MIGUEL,90
3085,CL,SANATIAGO,3,SANTIAGO,94
3086,CL,SANGTIAGO,1,SANTIAGO,94
3087,CL,SANIAGO,3,SANTIAGO,93
3088,CL,SANIAGO DE CHILE,1,SAN,90
3089,CL,SANITAGO,11,SAN,90
3090,CL,SANTAGO,1,SANTIAGO,93
3091,CL,SANTAIGO,5,SAN,90
3092,CL,SANTIADO DE CHILE,1,SAN,90
3093,CL,SANTIAG,1,SANTIAGO,93
3094,CL,SANTIAG DE CHILE,5,SAN,90
3095,CL,SANTIAGO,8062,SANTIAGO,100
3096,CL,SANTIAGO CENTRO,10,SANTIAGO,90
3097,CL,SANTIAGO CHILE,73,SANTIAGO,90
3098,CL,SANTIAGO DE CHIL,292,SANTIAGO,90
3099,CL,SANTIAGO DE CHILE,14123,SANTIAGO,90
3100,CL,SANTIAGO DF,2,SANTIAGO,95
3101,CL,SANTIAGO DU CHILI,2,SANTIAGO,90
3102,CL,SANTIAGO RM,31,SANTIAGO,95
3103,CL,SANTIASGO,1,SANTIAGO,94
3104,CL,SANTIGAO,2,SAN,90
3105,CL,SANTIGO DE CHILE,15,SAN,90
3106,CL,SANTRIAGO,2,SANTIAGO,94
3107,CL,SDANTIAGO,1,SANTIAGO,94
3108,CL,SNATIAGO DE CHILE,1,ATI,90
3109,CL,SWANTIAGO,1,SANTIAGO,94
3110,CL,TALCA,299,TALCA,100
3111,CL,TALCAHUANO,307,TALCAHUANO,100
3112,CL,TEMUCO,3025,TEMUCO,100
3113,CL,TUMUCO,5,TEMUCO,83
3114,CL,VALDIVIA,1044,VALDIVIA,100
3115,CL,VALPARAISO,256,VALPARAISO,100
3116,CL,VICTORIA,314,VICTORIA,100
3117,CL,VILA DEL MAR,38,VINA DEL MAR,92
3118,CL,VIN DEL MAR,1,VINA DEL MAR,96
3119,CL,VINA DEL,1,VINA DEL MAR,90
3120,CL,VINA DEL MAR,2389,VINA DEL MAR,100
3121,CL,VITUCURA,1,ITU,90
3122,CM,BAMENDA,1,BAMENDA,100
3123,CM,DOUALA,1,DOUALA,100
3124,CM,NGASSA,1,NASSAU,83
3125,CM,PHNOM PENH,1,PHNOM PENH,100
3126,CM,YAOUNDE,16,YAOUNDE,100
3127,CN,560370CHINA,2,560370CHINA,77
3128,CN,ANHUI,28,ANHUI,77
3129,CN,ANKUI,1,ANKUI,73
3130,CN,AREA SHANGHAI,1,SHANGHAI,90
3131,CN,BAODING,59,BAODING,100
3132,CN,BAOTOU,190,BAOTOU,100
3133,CN,BDA BEIJING,6,BEIJING,90
3134,CN,BEI JING,1,BEIJING,93
3135,CN,BEIGING,1,BEIJING,86
3136,CN,BEIIJING,1,BEIJING,93
3137,CN,BEIJIING,1,BEIJING,93
3138,CN,BEIJIN,2,BEIJING,92
3139,CN,BEIJING,60756,BEIJING,100
3140,CN,BEIJING 100088 P,2,BEIJING,90
3141,CN,BEIJINGI,4,BEIJING,93
3142,CN,BEIJNG,2,BEIJING,92
3143,CN,BEJING,18,BEIJING,92
3144,CN,BENGBU,23,BENGBU,100
3145,CN,BENGDU,4,BENGBU,83
3146,CN,CHANG SHA,1,CHANGSHA,94
3147,CN,CHANG ZHOU,11,CHANGZHOU,95
3148,CN,CHANGCHUN,828,CHANGCHUN,100
3149,CN,CHANGEHUN,1,HUN,90
3150,CN,CHANGHAI,2,CHANGZHI,88
3151,CN,CHANGHSA,2,CHANGSHA,88
3152,CN,CHANGHUN,2,CHANGCHUN,94
3153,CN,CHANGSA,1,CHANGSHA,93
3154,CN,CHANGSHA,1945,CHANGSHA,100
3155,CN,CHANGZHOU,60,CHANGZHOU,100
3156,CN,CHAO YANG,1,CHAOYANG,94
3157,CN,CHAO YANG DIST,1,CHAO YANG DIST,79
3158,CN,CHAOYANG,3,CHAOYANG,100
3159,CN,CHAOYANG DISTRICT,1,CHAOYANG,90
3160,CN,CHEMGDU,1,CHENGDU,86
3161,CN,CHENDU,31,CHENGDU,92
3162,CN,CHENG DU,2,CHENGDU,93
3163,CN,CHENGDU,1342,CHENGDU,100
3164,CN,CHENGDU SICHUAN,1,CHENGDU,90
3165,CN,CHENGDU SUCHUAN,1,CHENGDU,90
3166,CN,CHENGOU,2,CHENGDU,86
3167,CN,CHENGZHOU,1,CHENZHOU,94
3168,CN,CHINA,1,CHINANDEGA,90
3169,CN,CHNG ZHOU,17,HO,90
3170,CN,CHONG QING,1,CHONGQING,95
3171,CN,CHONGGING,1,HO,90
3172,CN,CHONGQING,2211,CHONGQING,100
3173,CN,DAILIAN,1,DALIAN,92
3174,CN,DALIAN,393,DALIAN,100
3175,CN,DAQING,174,DAQING,100
3176,CN,DONG GUAN CITY,1,IOWA CITY,86
